unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Non-programme,PRT,Portugal,BCG,,,,,,,,,32,99,99,99,97,96,98,98,98,99,89,83,81,81,82,82
MENA,QAT,Qatar,BCG,99,99,99,98,99,99,99,97,97,90,98,97,97,99,98,97,96,99,99,99,99,99,99,99
Non-programme,KOR,Republic of Korea,BCG,98,98,98,98,98,98,98,98,97,99,99,99,99,96,96,96,96,98,97,93,87,89,81,73
ECAR,MDA,Republic of Moldova,BCG,96,93,98,95,94,96,96,97,97,97,96,99,98,98,96,98,98,99,97,99,99,99,99,99
ECAR,ROU,Romania,BCG,94,97,97,97,96,96,97,84,98,98,98,99,99,99,99,99,99,99,98,99,99,99,99,99
Non-programme,RUS,Russian Federation,BCG,96,96,95,95,96,95,95,96,96,96,96,96,95,96,96,96,97,97,97,96,97,97,96,96
ESAR,RWA,Rwanda,BCG,92,99,89,89,98,97,98,99,99,99,99,99,99,99,99,93,89,98,91,86,88,81,74,81
LACR,KNA,Saint Kitts and Nevis,BCG,95,93,96,98,99,97,97,96,95,99,94,95,99,91,93,95,97,99,99,89,99,99,95,99
LACR,LCA,Saint Lucia,BCG,92,89,81,89,95,99,88,96,99,89,99,99,99,97,97,99,99,94,97,99,95,95,99,91
LACR,VCT,Saint Vincent and the Grenadines,BCG,98,94,62,99,99,99,99,99,99,98,96,97,99,90,80,87,93,99,95,99,87,91,99,99
EAPR,WSM,Samoa,BCG,99,96,92,99,96,68,89,81,86,92,90,90,95,87,92,98,91,84,86,93,73,98,98,97
WCAR,STP,Sao Tome and Principe,BCG,80,87,93,94,95,96,94,92,97,95,97,99,99,99,99,99,98,98,98,99,99,96,92,81
MENA,SAU,Saudi Arabia,BCG,96,98,94,95,52,98,97,98,98,98,99,99,98,98,98,98,96,95,96,95,94,98,94,94
WCAR,SEN,Senegal,BCG,92,92,92,99,96,94,99,97,95,95,97,97,97,97,97,98,96,94,92,95,77,70,89,89
ECAR,SRB,Serbia,BCG,98,96,98,98,98,98,97,98,98,98,97,98,99,99,98,99,98,99,98,97,94,91,88,85
Non-programme,SYC,Seychelles,BCG,99,99,99,99,98,97,99,99,99,98,99,99,99,99,96,99,99,99,99,99,99,99,99,99
WCAR,SLE,Sierra Leone,BCG,78,73,74,72,86,88,90,92,90,90,99,98,97,97,96,91,82,83,85,86,89,76,63,74
Non-programme,SGP,Singapore,BCG,98,98,98,98,98,99,99,99,99,99,99,99,99,99,99,99,99,98,98,99,99,98,98,99
Non-programme,SVK,Slovakia,BCG,,,,,,,,,,,,90,97,98,97,98,98,98,98,98,98,98,93,94
Non-programme,SVN,Slovenia,BCG,,,,,,,,,,,,,,,,,,,,96,97,97,98,98
EAPR,SLB,Solomon Islands,BCG,83,88,83,82,77,83,78,80,79,81,82,85,94,91,92,92,98,99,96,99,93,87,94,99
ESAR,SOM,Somalia,BCG,37,37,37,37,37,37,37,37,37,37,37,37,39,41,29,36,38,40,50,50,65,60,70,69
ESAR,ZAF,South Africa,BCG,79,84,86,86,84,70,75,79,83,93,88,86,84,81,82,84,79,79,76,78,81,84,86,89
ESAR,SSD,South Sudan,BCG,72,72,71,69,66,66,65,52,55,55,58,65,75,,,,,,,,,,,
ROSA,LKA,Sri Lanka,BCG,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98
MENA,PSE,State of Palestine,BCG,87,99,99,99,99,99,99,99,99,99,99,98,98,98,99,99,99,99,99,98,99,96,97,92
MENA,SDN,Sudan,BCG,49,65,80,92,92,88,97,96,88,95,93,92,92,90,82,88,83,77,72,66,69,65,67,56
Non-programme,SWE,Sweden,BCG,,,24,26,25,26,25,26,24,26,27,24,23,23,21,23,23,21,20,18,17,16,16,16
MENA,SYR,Syrian Arab Republic,BCG,75,76,76,74,84,79,78,72,66,81,84,82,90,97,95,93,93,91,90,90,90,90,91,91
ECAR,TJK,Tajikistan,BCG,99,99,98,98,98,99,98,98,98,98,98,96,97,98,82,89,83,93,97,95,98,97,96,98
EAPR,THA,Thailand,BCG,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
EAPR,TLS,Timor-Leste,BCG,90,90,90,92,93,95,95,86,79,79,86,86,79,79,74,85,74,74,70,72,72,75,,
WCAR,TGO,Togo,BCG,91,91,98,96,98,97,89,93,93,82,97,97,97,97,91,92,91,96,96,91,79,81,83,84
EAPR,TON,Tonga,BCG,99,99,99,99,99,99,99,91,91,99,99,95,99,99,99,99,99,99,99,99,99,95,91,99
MENA,TUN,Tunisia,BCG,85,84,85,92,91,92,91,95,97,95,97,99,98,98,98,99,99,99,98,97,93,91,91,95
ECAR,TUR,Turkiye,BCG,98,98,95,96,96,96,93,96,96,95,96,96,96,97,96,96,94,88,88,85,88,89,95,96
ECAR,TKM,Turkmenistan,BCG,98,98,98,98,98,98,98,98,99,99,98,99,98,99,99,99,99,99,99,99,99,99,99,99
EAPR,TUV,Tuvalu,BCG,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
ESAR,UGA,Uganda,BCG,95,96,97,91,88,88,89,94,95,91,93,95,97,86,90,86,87,83,90,88,87,85,83,82
ECAR,UKR,Ukraine,BCG,84,71,86,93,84,90,84,75,39,39,95,95,90,92,94,95,98,97,96,98,98,98,98,98
MENA,ARE,United Arab Emirates,BCG,98,96,99,86,94,95,95,99,96,90,94,94,96,98,98,98,98,98,98,98,98,98,98,98
ESAR,TZA,United Republic of Tanzania,BCG,95,94,82,91,92,91,93,95,97,99,99,99,99,99,93,89,89,90,91,91,91,88,91,86
LACR,URY,Uruguay,BCG,99,97,99,99,99,98,98,98,98,99,98,99,99,99,99,99,99,99,99,99,99,99,99,99
ECAR,UZB,Uzbekistan,BCG,99,99,99,99,99,96,99,99,99,99,99,99,99,99,99,96,99,99,93,99,99,99,98,98
EAPR,VUT,Vanuatu,BCG,86,81,76,77,97,94,95,94,95,95,93,92,90,88,86,85,83,81,81,80,80,80,79,79
LACR,VEN,Venezuela (Bolivarian Republic of),BCG,67,60,68,82,91,92,94,97,99,97,95,96,95,92,91,90,82,83,95,96,91,90,93,99
EAPR,VNM,Viet Nam,BCG,95,88,88,95,96,95,97,95,97,96,95,98,98,94,97,92,94,95,95,96,97,97,97,98
MENA,YEM,Yemen,BCG,54,63,60,59,59,55,59,67,42,70,69,64,59,65,58,60,64,67,66,64,66,73,78,82
ESAR,ZMB,Zambia,BCG,81,85,92,85,95,91,99,99,97,99,95,92,92,92,92,91,91,92,92,93,93,94,94,94
ESAR,ZWE,Zimbabwe,BCG,96,96,88,88,95,95,95,95,90,99,95,98,98,99,90,91,87,84,80,76,78,80,82,84
